month,TigacellID,prob_l95,prob_median,prob_u95,sd
10,-3.95_38.95,0,0.011,0.118,0.0375142355078251
10,-3.95_39,0,0.011,0.145,0.0446492994250629
10,-3.95_39.05,0,0.012,0.155024999999998,0.045370537892084
10,-3.95_40,0,0.012,0.166,0.0522068084086417
10,-3.95_40.1,0,0.012,0.146,0.0444598874437306
10,-3.95_40.15,0,0.011,0.16,0.0482126145014633
10,-3.95_40.25,0,0.01,0.133,0.0402518765811416
10,-3.95_40.35,0,0.011,0.145,0.0436758705492742
10,-3.95_40.5,0,0.01,0.12,0.0338008298907739
10,-3.95_40.55,0,0.012,0.149,0.0456065051915226
10,-3.95_40.6,0,0.012,0.171,0.0516744172919494
10,-3.95_43.35,0,0.011,0.146,0.0470203445705661
10,-3.95_43.4,0,0.012,0.196,0.0593165611467049
10,-3.9_36.7,0,0.01,0.112,0.0358585603065843
10,-3.9_36.75,0.01,0.101,0.349,0.0898028007462903
10,-3.9_36.85,0,0.012,0.179,0.0563237288730781
10,-3.9_36.95,0,0.012,0.201,0.0638857374823436
10,-3.9_37.85,0,0.012,0.178024999999998,0.0538212638482158
10,-3.9_39.1,0,0.012,0.179,0.0538540454153713
10,-3.9_39.85,0,0.012,0.156,0.0503022218290171
10,-3.9_40,0,0.012,0.213,0.0621395598437689
10,-3.9_40.1,0,0.012,0.153,0.0462845890197927
10,-3.9_40.2,0,0.011,0.143,0.0447574191618533
10,-3.9_40.25,0,0.009,0.096,0.0310403641533159
10,-3.9_40.3,0,0.011,0.125,0.0371485847919214
10,-3.9_40.35,0,0.01,0.12,0.0404104390198413
10,-3.9_40.4,0,0.011,0.141,0.0426232667170467
10,-3.9_40.45,0,0.008,0.08,0.0266071718161566
10,-3.9_40.5,0,0.012,0.144,0.0438786322905039
10,-3.9_40.7,0,0.012,0.16,0.0496827164373786
10,-3.9_40.85,0,0.012,0.198,0.0574645046551645
10,-3.9_41.35,0,0.012,0.196,0.0639314678303634
10,-3.9_43.25,0,0.012,0.164,0.0501274627524277
10,-3.9_43.35,0,0.011,0.128,0.0421974509491324
10,-3.9_43.4,0,0.011,0.123,0.0361915390050632
10,-3.9_43.45,0,0.011,0.157,0.0515442302791461
10,-3_37.9,0,0.012,0.168,0.0511181672271156
10,-3_39.35,0,0.012,0.174,0.0507005316284352
10,-3_43.25,0,0.008,0.072,0.0210830525644472
10,-3_43.3,0,0.012,0.149024999999998,0.047986526031517
10,-3_43.35,0,0.011,0.129,0.0387827182606375
10,-4.05_36.75,0,0.011,0.17,0.0514324470377727
10,-4.05_37.15,0,0.011,0.136,0.0426558027865017
10,-4.05_37.25,0,0.011,0.135,0.04209119353475
10,-4.05_38,0,0.013,0.197,0.0571340684032835
10,-4.05_39.85,0,0.01,0.113,0.0331329135753325
10,-4.05_40,0,0.012,0.185,0.0532093953820906
10,-4.05_40.3,0,0.013,0.19,0.0644012402113549
10,-4.05_40.35,0,0.011,0.131,0.0400344972907721
10,-4.05_40.5,0,0.011,0.142,0.0442741682229451
10,-4.05_40.6,0,0.01,0.121,0.0384411585781063
10,-4.05_40.65,0,0.013,0.158,0.0492730101309698
10,-4.05_40.7,0,0.01,0.11,0.0354564189364059
10,-4.05_40.75,0,0.012,0.159,0.0518220685218148
10,-4.05_42.25,0,0.012,0.182,0.0550473751930566
10,-4.05_43.3,0,0.013,0.192,0.0559998149230294
10,-4.05_43.35,0,0.013,0.181024999999998,0.0515325335535718
10,-4.15_36.7,0,0.01,0.115,0.0359716953292786
10,-4.15_36.75,0,0.009,0.084,0.0264899256164366
10,-4.15_36.85,0,0.012,0.179,0.0524976256775701
10,-4.15_36.9,0,0.011,0.156,0.0470210810563029
10,-4.15_37.1,0,0.012,0.17,0.0479799408248603
10,-4.15_38.65,0,0.012,0.155,0.0468855740551888
10,-4.15_40.1,0,0.012,0.180024999999998,0.0545757041312179
10,-4.15_40.15,0,0.013,0.189024999999998,0.0545793937551186
10,-4.15_40.5,0,0.011,0.127,0.0400249219292544
10,-4.15_40.55,0,0.011,0.133,0.0407229593192062
10,-4.15_40.6,0,0.011,0.131024999999998,0.037950698261115
10,-4.15_40.65,0,0.012,0.202024999999998,0.0636358520043778
10,-4.15_40.7,0,0.012,0.212,0.0656097811932795
10,-4.15_40.85,0,0.012,0.169,0.0509159909864621
10,-4.15_40.9,0,0.012,0.172,0.0506209780645359
10,-4.15_40.95,0,0.012,0.182,0.0547633344513916
10,-4.15_42.1,0,0.011,0.157,0.0478600085652715
10,-4.15_43,0,0.012,0.161,0.0518794069424579
10,-4.15_43.35,0,0.011,0.13,0.038485295403171
10,-4.1_36.7,0,0.01,0.107,0.033009625273271
10,-4.1_36.75,0.005,0.054,0.239,0.0631187725514491
10,-4.1_36.85,0,0.012,0.195,0.0604581704569162
10,-4.1_37.1,0,0.011,0.139,0.0425094927274851
10,-4.1_37.15,0,0.012,0.181,0.0546128966231138
10,-4.1_38,0,0.013,0.186,0.0593445710911659
10,-4.1_40.25,0,0.012,0.152,0.0468066660191561
10,-4.1_40.35,0,0.012,0.2,0.0625640849752343
10,-4.1_40.5,0,0.011,0.14,0.0426451496908817
10,-4.1_40.6,0,0.01,0.124,0.0382492999133834
10,-4.1_40.65,0,0.011,0.14,0.0422304394955847
10,-4.1_40.7,0,0.012,0.163,0.0490815144673096
10,-4.1_43.25,0,0.012,0.162,0.050081399078981
10,-4.1_43.35,0,0.011,0.157,0.0463241010540817
10,-4.25_36.7,0.012,0.106,0.39,0.099991331347127
10,-4.25_36.85,0,0.012,0.175,0.052211012124602
10,-4.25_36.9,0,0.012,0.144,0.0444857125106684
10,-4.25_37.4,0,0.012,0.167,0.049334491757304
10,-4.25_37.45,0,0.012,0.196,0.058140689200916
10,-4.25_40.25,0,0.012,0.17,0.0529626139649354
10,-4.25_40.35,0,0.013,0.197024999999998,0.0612898794239065
10,-4.25_40.5,0,0.011,0.147,0.0445223667272547
10,-4.25_43.25,0,0.011,0.147,0.0435451837664131
10,-4.2_36.7,0.002,0.028,0.158,0.0438062480219073
10,-4.2_36.85,0,0.012,0.184,0.0589332956603275
10,-4.2_37.4,0,0.012,0.183024999999998,0.0584518540763788
10,-4.2_40.2,0,0.011,0.14,0.0416236117472805
10,-4.2_40.45,0,0.012,0.166,0.0542842163573084
10,-4.2_40.55,0,0.012,0.171,0.056168737368468
10,-4.2_43.1,0,0.012,0.193024999999998,0.0571896734456601
10,-4.2_43.35,0,0.011,0.128,0.0403963313950573
10,-4.35_36.7,0.005,0.051,0.234,0.0628905107739939
10,-4.35_36.75,0,0.012,0.15,0.0457861688675771
10,-4.35_36.85,0,0.01,0.115,0.0365763920649398
10,-4.35_37,0,0.011,0.118024999999998,0.0363134915332693
10,-4.35_37.5,0,0.011,0.17,0.0515597646606629
10,-4.35_39.85,0,0.012,0.189,0.0571595737825906
10,-4.35_40.25,0,0.011,0.141,0.0437203163034303
10,-4.35_40.35,0,0.011,0.112,0.0356010247025671
10,-4.35_41,0,0.012,0.148,0.0428002492783725
